CustomerID;CompanyName;ContactName;ContactTitle;Address;City;RegionID;PostalCode;Country;Phone;Fax
ANATR;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitución 2222;México D.F.;2;05021;Mexico;(5) 555-4729;(5) 555-3745
ANTON;Antonio Moreno Taquería;Antonio Moreno;Owner;Mataderos  2312;México D.F.;2;05023;Mexico;(5) 555-3932;
AROUT;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;3;WA1 1DP;United Kingdom;(171) 555-7788;(171) 555-6750
BCOMP;Bolido Comidas preparadas;Martim Sommer;Owner;C Araquil, 67;Madrid;2;28023;Spain;;91 555 91 99
BOTTM;Bottom-Dollar Markets;Elizabeth Lincoln;Accounting Manager;23 Tsawassen Blvd.;Tsawassen;4;T2F 8M4;Canada;(604) 555-4729;(604) 555-3745
BSBEV;B's Beverages;Victoria Ashworth;Sales Representative;Fauntleroy Circus;London;3;EC2 5NT;United Kingdom;(171) 555-1212;
CACTU;Cactus Comidas para llevar;Patricio Simpson;Sales Agent;Cerrito 333;Buenos Aires;4;1010;Argentina;(1) 135-5555;(1) 135-4892
CENTC;Centro comercial Moctezuma;Francisco Chang;Marketing Manager;Sierras de Granada 9993;México D.F.;2;05022;Mexico;(5) 555-3392;(5) 555-7293
COMMI;Comércio Mineiro;Pedro Afonso;Sales Associate;Av. dos Lusíadas, 23;Sao Paulo;4;05432-043;Brazil;(11) 555-7647;
CONSH;Consolidated Holdings;Elizabeth Brown;Sales Representative;Berkeley Gardens 12  Brewery;London;3;WX1 6LT;United Kingdom;(171) 555-2282;(171) 555-9199
CSUEY;Chop-suey Chinese;Yang Wang;Owner;Hauptstr. 29;Bern;1;3012;Switzerland;0452-076545;
EASTC;Eastern Connection;Ann Devon;Sales Agent;35 King George;London;3;WX3 6FW;United Kingdom;(171) 555-0297;(171) 555-3373
FAMIA;Familia Arquibaldo;Aria Cruz;Marketing Assistant;Rua Orós, 92;Sao Paulo;4;05442-030;Brazil;(11) 555-9857;
