DateID;FullDate (yyyy-mm-dd);Year (yyyy);Semester;Trimester;Quarter;Month (mm);MonthName;YearWeek;MonthWeek;WeekDay;WeekDayName;Day (dd);YearDay;Weekend;LastDayOfMonth;Season
1;1900-01-01;1900;1;1;1;1;January;1;1;2;Monday;1;1;No;No;Winter
2;1900-01-02;1900;1;1;1;1;January;1;1;3;Tuesday;2;2;No;No;Winter
3;1900-01-03;1900;1;1;1;1;January;1;1;4;Wednesday;3;3;No;No;Winter
4;1900-01-04;1900;1;1;1;1;January;1;1;5;Thursday;4;4;No;No;Winter
5;1900-01-05;1900;1;1;1;1;January;1;1;6;Friday;5;5;No;No;Winter
6;1900-01-06;1900;1;1;1;1;January;1;1;7;Saturday;6;6;Yes;No;Winter
7;1900-01-07;1900;1;1;1;1;January;2;2;1;Sunday;7;7;Yes;No;Winter
8;1900-01-08;1900;1;1;1;1;January;2;2;2;Monday;8;8;No;No;Winter
9;1900-01-09;1900;1;1;1;1;January;2;2;3;Tuesday;9;9;No;No;Winter
10;1900-01-10;1900;1;1;1;1;January;2;2;4;Wednesday;10;10;No;No;Winter
11;1900-01-11;1900;1;1;1;1;January;2;2;5;Thursday;11;11;No;No;Winter
12;1900-01-12;1900;1;1;1;1;January;2;2;6;Friday;12;12;No;No;Winter
13;1900-01-13;1900;1;1;1;1;January;2;2;7;Saturday;13;13;Yes;No;Winter
14;1900-01-14;1900;1;1;1;1;January;3;3;1;Sunday;14;14;Yes;No;Winter
15;1900-01-15;1900;1;1;1;1;January;3;3;2;Monday;15;15;No;No;Winter
16;1900-01-16;1900;1;1;1;1;January;3;3;3;Tuesday;16;16;No;No;Winter
17;1900-01-17;1900;1;1;1;1;January;3;3;4;Wednesday;17;17;No;No;Winter
18;1900-01-18;1900;1;1;1;1;January;3;3;5;Thursday;18;18;No;No;Winter
19;1900-01-19;1900;1;1;1;1;January;3;3;6;Friday;19;19;No;No;Winter
20;1900-01-20;1900;1;1;1;1;January;3;3;7;Saturday;20;20;Yes;No;Winter
21;1900-01-21;1900;1;1;1;1;January;4;4;1;Sunday;21;21;Yes;No;Winter
22;1900-01-22;1900;1;1;1;1;January;4;4;2;Monday;22;22;No;No;Winter
23;1900-01-23;1900;1;1;1;1;January;4;4;3;Tuesday;23;23;No;No;Winter
24;1900-01-24;1900;1;1;1;1;January;4;4;4;Wednesday;24;24;No;No;Winter
25;1900-01-25;1900;1;1;1;1;January;4;4;5;Thursday;25;25;No;No;Winter
26;1900-01-26;1900;1;1;1;1;January;4;4;6;Friday;26;26;No;No;Winter
27;1900-01-27;1900;1;1;1;1;January;4;4;7;Saturday;27;27;Yes;No;Winter
28;1900-01-28;1900;1;1;1;1;January;5;5;1;Sunday;28;28;Yes;No;Winter
29;1900-01-29;1900;1;1;1;1;January;5;5;2;Monday;29;29;No;No;Winter
30;1900-01-30;1900;1;1;1;1;January;5;5;3;Tuesday;30;30;No;No;Winter
31;1900-01-31;1900;1;1;1;1;January;5;5;4;Wednesday;31;31;No;Yes;Winter
32;1900-02-01;1900;1;1;1;2;February;5;1;5;Thursday;1;32;No;No;Winter
33;1900-02-02;1900;1;1;1;2;February;5;1;6;Friday;2;33;No;No;Winter
34;1900-02-03;1900;1;1;1;2;February;5;1;7;Saturday;3;34;Yes;No;Winter
35;1900-02-04;1900;1;1;1;2;February;6;2;1;Sunday;4;35;Yes;No;Winter
36;1900-02-05;1900;1;1;1;2;February;6;2;2;Monday;5;36;No;No;Winter
37;1900-02-06;1900;1;1;1;2;February;6;2;3;Tuesday;6;37;No;No;Winter
38;1900-02-07;1900;1;1;1;2;February;6;2;4;Wednesday;7;38;No;No;Winter
39;1900-02-08;1900;1;1;1;2;February;6;2;5;Thursday;8;39;No;No;Winter
40;1900-02-09;1900;1;1;1;2;February;6;2;6;Friday;9;40;No;No;Winter
41;1900-02-10;1900;1;1;1;2;February;6;2;7;Saturday;10;41;Yes;No;Winter
42;1900-02-11;1900;1;1;1;2;February;7;3;1;Sunday;11;42;Yes;No;Winter
43;1900-02-12;1900;1;1;1;2;February;7;3;2;Monday;12;43;No;No;Winter
44;1900-02-13;1900;1;1;1;2;February;7;3;3;Tuesday;13;44;No;No;Winter
45;1900-02-14;1900;1;1;1;2;February;7;3;4;Wednesday;14;45;No;No;Winter
46;1900-02-15;1900;1;1;1;2;February;7;3;5;Thursday;15;46;No;No;Winter
47;1900-02-16;1900;1;1;1;2;February;7;3;6;Friday;16;47;No;No;Winter
